country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Belize,2000,BLZ,240420.0,0.0,0.0,0.0,0.396,0.048,13.684,2.045,-0.136,-6.218,8.504,0.0,0.847,1.646,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,8.889,165.085,0.0,0.0,0.0,223.357,8.889,0.0,10038.552,0.0,0.0,0.0,0.0,0.0,3.12,30.738,1.649,6.858,0.27,1.123,0.13,0.541,0.396,1.646,0.0,0.0,2.413,0.0,0.002,0.007,0.0,0.0,0.001,0.01,0.0,0.0,0.0,0.035,0.002,0.0,0.0,0.0,0.032,0.004,0.0,0.008,0.0,0.0,0.0,0.0,7.39,0.75,0.0,0.0
Benin,2000,BEN,6998022.0,12746225664.0,0.0,0.0,1.473,0.011,0.752,35.805,-3.873,-9.761,5.116,2.809,5.216,0.21,0.116,0.215,0.0,0.0,2.413,0.345,0.189,1.491,21.185,807.003,0.0,0.0,0.0,781.165,19.694,0.0,980.964,0.539,0.0,0.0,0.0,0.0,1.005,3.258,34.332,4.906,3.65,0.522,2.58,0.369,1.473,0.21,0.0,0.0,6.865,0.0,0.006,0.117,0.0,0.008,0.002,0.048,0.0,0.0,0.0,0.122,0.005,0.0,0.0,0.0,0.671,0.014,0.0,0.046,0.0,0.0,0.001,0.0,22.8,7.03,0.94,63.817
Bermuda,2000,BMU,61390.0,0.0,0.0,0.0,0.517,0.004,0.714,0.0,0.0,0.0,0.0,0.0,0.0,8.415,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,17.444,0.0,0.04,0.0,0.0,0.0,17.404,0.0,39297.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,8.415,0.0,0.0,2.412,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,2000,BTN,587210.0,0.0,0.06,0.103,0.383,0.011,2.937,10.532,0.89,9.234,17.936,0.0,2.118,0.652,0.0,0.077,0.176,0.3,0.0,0.0,0.0,0.555,3.52,409.308,1.282,0.0,0.0,860.087,1.683,0.0,8469.052,0.0,0.0,0.0,0.0,0.0,1.499,-9.707,10.149,17.284,0.57,0.971,0.11,0.187,0.147,0.25,0.0,0.0,4.973,0.008,0.002,0.034,0.002,0.003,0.0,0.024,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.198,0.001,0.0,0.021,0.0,0.0,0.0,0.0,-5.7,0.88,0.0,0.0
Bolivia,2000,BOL,8592656.0,34202658816.0,0.481,0.056,8.469,-2.015,-19.22,113.369,-48.841,-30.11,13.194,3.315,2.601,0.986,0.248,0.194,0.0,0.0,8.78,1.022,0.257,7.639,229.037,3994.163,0.234,52.04,37.474,6093.416,131.649,0.0,5072.653,1.274,0.33,0.038,2.711,0.316,3.694,12.923,104.9,12.208,19.65,2.287,6.81,0.793,4.946,0.576,0.0,0.0,43.588,0.067,0.033,0.371,0.0,0.041,0.022,0.237,0.0,0.486,0.031,0.948,0.036,0.0,0.118,0.057,2.05,0.048,0.0,0.308,0.001,0.002,0.003,0.0,111.04,31.74,0.312,3.681
Bonaire Sint Eustatius and Saba,2000,BES,13984.0,0.0,0.0,0.0,0.071,0.045,165.339,0.071,0.045,165.339,5.109,0.0,0.0,5.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.848,7.068,0.0,0.0,0.0,0.22,6.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,5.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2000,BIH,4179355.0,27629668352.0,0.237,0.057,13.702,3.369,32.603,9.122,2.16,31.021,2.183,0.33,0.141,3.279,0.496,0.212,9.707,2.323,0.0,0.0,0.0,4.043,567.817,1400.168,464.56,0.325,14.543,1149.69,84.346,0.0,15474.596,2.341,0.0,0.0,0.458,0.11,4.462,5.276,-4.58,-1.096,3.62,0.866,0.94,0.225,3.3,0.79,0.0,0.0,64.674,0.033,0.054,0.03,0.105,0.022,0.054,0.083,0.088,0.003,0.012,0.179,0.023,0.0,0.0,0.01,-0.09,0.032,0.0,0.062,0.0,0.0,0.001,0.0,22.05,18.65,0.0,0.0
Botswana,2000,BWA,1726992.0,13390984192.0,0.0,0.0,3.778,0.619,19.606,5.903,-6.819,-53.6,3.418,0.441,0.411,2.187,0.282,0.263,2.052,1.188,3.294,1.907,0.246,0.0,48.068,125.085,35.069,0.0,0.0,229.403,12.999,0.0,8308.661,1.072,0.0,0.0,0.0,0.0,7.933,31.882,2.125,1.231,5.36,3.104,4.33,2.507,1.726,0.999,0.0,0.0,14.349,0.0,0.015,0.019,0.022,0.0,0.005,0.007,0.007,0.0,0.0,0.036,0.004,0.0,0.0,0.0,0.042,0.017,0.0,0.042,0.0,0.0,0.0,0.0,55.06,13.7,-0.484,-12.807
Brazil,2000,BRA,175873712.0,1734491242496.0,16.047,0.091,340.183,12.927,3.95,2130.267,-218.748,-9.312,12.112,1.228,0.904,1.934,0.196,0.144,50.46,0.287,348.809,1.983,0.201,366.847,7451.815,88358.102,1262.599,136.32,172.618,84988.859,5467.51,45.921,13400.32,1.359,10.737,0.061,18.442,0.105,4.365,10.287,1790.084,10.178,329.29,1.872,124.7,0.709,239.488,1.362,0.028,5.008,2356.764,2.223,1.336,6.969,0.548,1.992,0.712,5.247,0.24,1.273,0.141,13.228,1.495,1.135,3.849,0.39,34.99,2.325,2.316,4.656,0.017,0.034,0.053,0.002,1809.18,767.75,8.626,2.536
British Virgin Islands,2000,VGB,20126.0,0.0,0.0,0.0,0.125,0.004,3.03,0.0,0.0,0.0,0.0,0.0,0.0,6.19,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,1.931,0.0,0.0,0.0,0.0,0.0,1.931,0.0,21736.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,6.19,0.0,0.0,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,2000,BRN,333937.0,0.0,0.0,0.0,4.591,0.788,20.713,5.47,0.898,19.631,16.381,0.0,0.278,13.748,0.0,0.233,0.0,0.0,3.118,9.338,0.0,0.0,210.322,276.567,0.004,76.833,75.441,66.245,58.044,0.0,58884.859,0.0,0.707,2.118,3.045,9.118,19.794,23.837,0.879,2.633,1.75,5.241,0.11,0.329,0.839,2.513,0.0,0.0,19.664,0.0,0.018,0.018,0.0,0.0,0.02,0.016,0.0,0.718,0.062,0.01,0.016,0.0,0.254,0.064,0.017,0.008,0.0,0.029,0.0,0.0,0.0,0.0,7.96,6.61,-1.473,-32.079
Bulgaria,2000,BGR,8097694.0,70102818816.0,1.212,0.15,45.464,-0.915,-1.972,36.011,-2.49,-6.468,4.447,0.514,0.166,5.614,0.649,0.209,26.382,3.258,42.462,5.244,0.606,80.158,2875.83,4120.015,1594.453,1.522,218.286,1390.964,974.353,7.059,26859.672,3.103,0.124,0.015,6.671,0.824,7.133,4.449,-9.453,-1.167,10.6,1.309,3.73,0.461,10.659,1.316,0.051,0.417,217.501,0.168,0.179,0.118,0.287,0.435,0.275,0.245,0.304,0.014,0.179,0.216,0.266,0.175,0.045,0.141,-0.185,0.103,0.193,0.208,0.001,0.002,0.002,0.0,36.03,57.76,-3.002,-6.604
Burkina Faso,2000,BFA,11882896.0,14546977792.0,0.04,0.003,1.03,0.114,12.462,45.95,43.789,2025.987,3.867,3.159,10.789,0.087,0.071,0.242,0.0,0.0,1.405,0.118,0.097,0.17,16.739,484.925,0.0,0.0,0.0,724.226,16.569,0.0,358.424,0.293,0.0,0.0,0.0,0.0,1.357,2.518,44.921,3.78,9.77,0.822,6.78,0.571,0.989,0.083,0.0,0.0,4.259,0.006,0.004,0.15,0.0,0.001,0.002,0.029,0.0,0.0,0.0,0.113,0.005,0.0,0.0,0.0,0.878,0.01,0.0,0.069,0.0,0.0,0.001,0.0,29.92,16.13,0.375,36.445
Burundi,2000,BDI,6307665.0,4647177728.0,0.0,0.0,0.271,0.018,7.246,5.547,1.484,36.519,0.879,1.194,3.357,0.043,0.058,0.164,0.007,0.001,0.0,0.0,0.0,0.0,6.187,283.369,0.345,0.0,0.0,629.255,5.842,0.0,261.958,0.356,0.0,0.0,0.0,0.0,0.315,1.206,5.276,0.836,0.53,0.084,1.15,0.182,0.264,0.042,0.0,0.0,1.652,0.0,0.001,0.018,0.0,0.0,0.001,0.017,0.0,0.0,0.0,0.098,0.002,0.0,0.0,0.0,0.103,0.003,0.0,0.038,0.0,0.0,0.0,0.0,7.61,1.99,0.0,0.0
Cambodia,2000,KHM,12118844.0,20441458688.0,0.0,0.0,1.975,0.081,4.255,60.416,10.12,20.121,4.985,2.956,6.742,0.163,0.097,0.22,0.0,0.0,4.719,0.389,0.231,0.0,28.0,4112.151,0.443,0.0,0.0,4084.151,27.557,0.0,739.456,0.438,0.0,0.0,0.0,0.0,1.599,2.176,58.441,4.822,16.04,1.324,4.12,0.34,1.975,0.163,0.0,0.0,8.961,0.0,0.008,0.198,0.0,0.0,0.003,0.244,0.0,0.0,0.0,0.636,0.008,0.0,0.0,0.0,1.142,0.019,0.0,0.146,0.001,0.001,0.002,0.0,26.37,19.38,2.744,138.935
Cameroon,2000,CMR,15091598.0,31207909376.0,0.36,0.024,3.346,0.349,11.648,29.104,-2.436,-7.722,1.928,0.933,1.224,0.222,0.107,0.141,0.0,0.0,4.528,0.3,0.145,5.495,99.082,1721.758,0.263,0.0,0.0,2832.712,93.324,0.0,1575.576,0.762,0.0,0.0,0.0,0.0,5.534,9.195,25.758,1.707,16.82,1.115,63.18,4.186,2.986,0.198,0.0,0.0,23.778,0.05,0.013,0.095,0.0,0.03,0.009,0.102,0.0,0.0,0.0,0.441,0.026,0.0,0.0,0.0,0.503,0.029,0.0,0.204,0.001,0.001,0.002,0.0,138.76,83.52,1.182,35.335
Canada,2000,CAN,30683316.0,1138677121024.0,7.232,0.236,566.69,22.627,4.159,787.336,17.717,2.302,25.66,0.691,0.216,18.469,0.498,0.155,129.348,4.216,580.179,18.909,0.51,234.064,22184.281,57600.652,7814.386,298.237,4174.649,35416.734,9627.347,35.601,118875.336,3.203,16.25,0.53,172.817,5.632,21.018,23.232,220.646,7.191,86.01,2.803,36.35,1.185,237.661,7.746,0.11,3.381,3647.49,1.002,2.226,2.576,1.405,1.271,2.121,3.42,1.488,2.786,3.421,5.512,2.633,0.88,5.826,3.653,4.313,2.307,1.564,2.254,0.004,0.02,0.026,0.001,712.83,644.89,13.489,2.38
Cape Verde,2000,CPV,458258.0,1540942336.0,0.0,0.0,0.297,0.007,2.532,0.48,0.154,47.191,1.047,0.311,0.351,0.648,0.193,0.217,0.0,0.0,0.0,0.0,0.0,0.072,4.568,6.95,0.244,0.0,0.0,6.046,4.252,0.0,2981.49,0.887,0.0,0.0,0.0,0.0,0.807,-0.306,0.183,0.4,0.08,0.175,0.08,0.175,0.297,0.648,0.0,0.0,1.366,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.004,0.003,0.0,0.001,0.0,0.0,0.0,0.0,-0.14,0.37,0.0,0.0
Central African Republic,2000,CAF,3759174.0,3836505856.0,0.0,0.0,0.234,0.004,1.587,10.31,1.213,13.331,2.743,2.687,7.129,0.062,0.061,0.162,0.0,0.0,0.0,0.0,0.0,0.0,6.614,297.828,0.0,0.0,0.0,782.667,6.614,0.0,384.72,0.377,0.0,0.0,0.0,0.0,6.587,11.769,10.076,2.68,15.54,4.134,14.49,3.855,0.234,0.062,0.0,0.0,1.446,0.0,0.001,0.034,0.0,0.0,0.001,0.018,0.0,0.0,0.0,0.122,0.002,0.0,0.0,0.0,0.197,0.002,0.0,0.084,0.0,0.0,0.001,0.0,44.24,24.76,0.0,0.0
Chad,2000,TCD,8259144.0,5599909376.0,0.0,0.0,0.487,0.011,2.308,22.068,14.667,198.168,2.672,3.941,21.382,0.059,0.087,0.472,0.0,0.0,0.0,0.0,0.0,0.0,9.193,281.135,0.0,0.0,0.0,872.069,9.193,0.0,124.966,0.184,0.0,0.0,0.0,0.0,4.21,5.641,21.581,2.613,24.42,2.957,14.14,1.712,0.487,0.059,0.0,0.0,1.032,0.0,0.002,0.072,0.0,0.0,0.001,0.017,0.0,0.0,0.0,0.136,0.003,0.0,0.0,0.0,0.422,0.005,0.0,0.087,0.001,0.0,0.001,0.0,46.59,34.77,0.0,0.0
Chile,2000,CHL,15351803.0,232506474496.0,1.01,0.066,58.096,-2.795,-4.59,79.567,5.852,7.939,5.183,0.342,0.259,3.784,0.25,0.189,14.242,0.928,58.996,3.843,0.254,34.591,1459.469,4747.47,524.845,75.86,90.052,3975.184,734.121,0.0,20023.135,1.322,0.297,0.019,11.919,0.776,4.555,3.43,21.471,1.399,12.46,0.812,6.61,0.431,30.627,1.995,0.0,0.0,307.391,0.14,0.228,0.26,0.155,0.188,0.14,0.282,0.1,0.709,0.074,0.619,0.201,0.0,0.106,0.252,0.42,0.297,0.0,0.27,0.001,0.002,0.003,0.0,52.66,69.92,0.9,1.549
China,2000,CHN,1264099072.0,5952682590208.0,244.388,0.193,3644.464,91.622,2.579,4323.66,-119.717,-2.694,3.42,0.726,0.366,2.883,0.612,0.309,2601.737,2.058,3256.258,2.576,0.547,2721.087,75692.219,125226.75,59417.617,30.613,907.342,53159.695,10582.577,2032.992,9334.936,1.982,0.0,0.0,59.796,0.047,3.614,3.339,679.196,0.537,810.19,0.641,376.06,0.297,648.686,0.513,0.071,89.857,11800.283,33.852,14.318,14.144,28.27,14.773,7.236,7.436,11.312,0.286,0.744,8.274,2.894,50.268,0.0,1.264,13.276,6.297,41.549,8.069,0.037,0.05,0.092,0.005,4221.08,4568.81,-388.206,-10.652
Colombia,2000,COL,39215136.0,330667819008.0,3.241,0.083,56.259,1.498,2.735,65.309,-77.755,-54.35,1.665,0.198,0.208,1.435,0.17,0.179,10.227,0.261,54.548,1.391,0.165,94.152,1910.5,15424.468,478.482,42.23,258.159,18998.609,1037.477,0.0,8011.812,0.95,0.975,0.025,12.488,0.318,3.56,5.941,9.05,0.231,62.19,1.586,18.83,0.48,29.329,0.748,0.0,0.0,314.184,0.449,0.221,0.214,0.111,0.511,0.183,0.916,0.091,0.394,0.212,2.957,0.284,0.0,0.349,0.264,0.177,0.285,0.0,0.946,0.003,0.007,0.011,0.0,232.98,139.62,-1.711,-3.041
Comoros,2000,COM,536762.0,656399296.0,0.0,0.0,0.103,0.007,7.692,0.432,0.044,11.321,0.805,0.659,0.986,0.191,0.156,0.234,0.0,0.0,0.0,0.0,0.0,0.0,1.825,9.446,0.0,0.0,0.0,15.792,1.825,0.0,816.702,0.668,0.0,0.0,0.0,0.0,0.559,0.671,0.33,0.614,0.16,0.298,0.04,0.075,0.103,0.191,0.0,0.0,0.438,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.006,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.36,0.3,0.0,0.0
Congo,2000,COG,3134034.0,12472091648.0,0.008,0.003,0.481,0.118,32.532,29.353,-8.016,-21.451,9.366,2.353,7.63,0.153,0.039,0.125,0.0,0.0,0.0,0.0,0.0,0.498,34.595,752.813,0.0,5.748,0.541,3112.605,27.809,0.0,1227.492,0.308,0.0,0.0,0.0,0.0,3.845,6.876,28.872,9.213,7.02,2.24,0.91,0.29,0.473,0.151,0.0,0.0,3.847,0.001,0.002,0.096,0.0,0.003,0.003,0.045,0.0,0.054,0.0,0.484,0.008,0.0,0.0,0.0,0.564,0.005,0.0,0.12,0.0,0.001,0.001,0.0,21.55,12.05,0.0,0.0
Cook Islands,2000,COK,15920.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.222,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.0,1.041,0.0,0.0,0.0,0.0,0.0,1.041,0.0,17201.518,0.0,0.0,0.0,0.0,0.0,4.397,3.141,0.0,0.0,0.01,0.628,0.0,0.0,0.051,3.222,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.0,0.0
Costa Rica,2000,CRI,3979189.0,36231462912.0,0.447,0.112,5.394,-0.044,-0.807,5.98,-0.007,-0.121,1.503,0.165,0.14,1.356,0.149,0.127,0.0,0.0,8.001,2.011,0.221,8.419,106.266,1239.981,0.0,0.0,0.0,2017.545,97.847,0.0,10699.309,1.175,0.0,0.0,0.0,0.0,2.624,3.249,0.586,0.147,3.82,0.96,1.57,0.395,4.946,1.243,0.0,0.0,42.575,0.062,0.021,0.02,0.0,0.046,0.01,0.074,0.0,0.0,0.0,0.314,0.027,0.0,0.0,0.0,0.011,0.048,0.0,0.079,0.0,0.001,0.001,0.0,12.93,10.44,2.607,48.332
Cote d'Ivoire,2000,CIV,16799664.0,41297571840.0,0.0,0.0,6.463,0.524,8.819,39.769,-2.078,-4.965,2.367,0.963,1.082,0.385,0.157,0.176,0.0,0.0,6.761,0.402,0.164,0.0,170.281,11848.658,0.0,0.0,8.804,11678.377,161.477,0.0,2188.067,0.89,0.0,0.0,2.418,0.144,1.54,5.183,33.306,1.983,16.25,0.967,3.17,0.189,4.045,0.241,0.0,0.0,36.759,0.0,0.025,0.13,0.0,0.0,0.016,0.704,0.0,0.0,0.007,1.818,0.044,0.0,0.0,0.051,0.651,0.039,0.0,0.338,0.0,0.003,0.004,0.0,87.08,25.87,0.298,4.61
Croatia,2000,HRV,4548438.0,54951510016.0,1.263,0.278,19.662,-0.362,-1.809,5.519,-0.985,-15.145,1.213,0.1,0.057,4.323,0.358,0.204,1.795,0.395,21.644,4.759,0.394,52.358,690.466,1548.062,93.681,7.939,98.377,1178.452,436.562,1.549,21227.025,1.757,0.711,0.156,4.562,1.003,5.543,5.36,-14.143,-3.109,3.31,0.728,2.39,0.525,11.165,2.455,0.037,0.166,96.55,0.175,0.077,0.018,0.02,0.284,0.066,0.092,0.018,0.074,0.081,0.183,0.119,0.038,0.255,0.096,-0.276,0.108,0.077,0.07,0.0,0.001,0.001,0.0,24.38,25.21,1.982,10.078
Cuba,2000,CUB,11105799.0,44692111360.0,0.809,0.073,25.775,1.308,5.348,59.338,29.924,101.736,5.343,1.328,0.541,2.321,0.577,0.235,0.062,0.006,0.0,0.0,0.0,41.394,1085.645,4234.487,10.365,0.0,3.129,4171.354,1030.757,0.0,9883.993,2.456,0.0,0.0,1.103,0.099,3.956,2.992,33.562,3.022,11.85,1.067,3.75,0.338,23.802,2.143,0.0,0.0,109.77,0.112,0.101,0.194,0.001,0.225,0.104,0.251,0.002,0.0,0.003,0.649,0.282,0.0,0.0,0.023,0.656,0.231,0.0,0.246,0.001,0.002,0.003,0.0,33.23,43.93,0.0,0.0
Curacao,2000,CUW,141433.0,0.0,0.0,0.0,4.948,3.083,165.338,4.948,3.083,165.338,34.985,0.0,0.0,34.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.295,478.106,0.0,0.0,0.0,4.14,474.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.948,34.985,0.0,0.0,0.0,0.0,0.019,0.016,0.0,0.0,0.045,0.028,0.0,0.0,0.0,0.001,0.13,0.0,0.0,0.0,0.0,0.048,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,2000,CYP,948238.0,18206158848.0,0.763,0.804,7.122,0.246,3.585,5.693,0.137,2.458,6.004,0.313,0.188,7.511,0.391,0.235,0.117,0.123,7.604,8.019,0.418,17.689,141.95,109.45,2.455,0.0,0.016,82.44,121.316,0.474,31912.982,1.662,0.0,0.0,0.002,0.002,8.595,8.532,-1.429,-1.507,0.64,0.675,0.36,0.38,6.201,6.539,0.042,0.04,30.261,0.106,0.028,0.019,0.001,0.096,0.014,0.006,0.0,0.0,0.0,0.013,0.033,0.012,0.0,0.0,-0.028,0.06,0.019,0.009,0.0,0.0,0.0,0.0,8.09,8.15,0.481,6.756
Czechia,2000,CZE,10234712.0,174508441600.0,1.937,0.189,127.156,10.586,9.081,123.272,10.696,9.501,12.045,0.706,0.26,12.424,0.729,0.268,86.836,8.484,120.413,11.765,0.69,114.775,9681.105,9552.207,8230.197,4.032,322.044,-19.639,993.581,16.477,46362.195,2.719,0.322,0.032,18.134,1.772,14.08,13.157,-3.884,-0.379,14.98,1.464,5.53,0.54,18.116,1.77,0.177,1.81,474.504,0.268,0.5,0.403,0.944,0.623,0.925,0.567,1.567,0.038,0.264,-0.003,0.272,0.407,0.116,0.383,-0.076,0.176,0.837,0.446,0.001,0.004,0.005,0.0,134.66,144.1,-6.743,-5.303
Democratic Republic of Congo,2000,COD,48616328.0,21854111744.0,0.068,0.001,0.893,-0.425,-32.239,172.771,-3.942,-2.231,3.554,7.906,8.1,0.018,0.041,0.042,0.0,0.0,0.0,0.0,0.0,9.002,151.026,12740.018,45.929,0.0,0.0,13863.513,96.094,0.0,438.74,0.976,0.0,0.0,0.0,0.0,0.7,8.759,171.878,3.535,40.01,0.823,16.13,0.332,0.824,0.017,0.0,0.0,21.33,0.009,0.004,0.565,0.0,0.049,0.014,0.757,0.009,0.0,0.0,2.158,0.026,0.0,0.0,0.0,3.36,0.008,0.0,0.529,0.001,0.005,0.006,0.0,425.81,34.01,0.0,0.0
Denmark,2000,DNK,5340662.0,208358719488.0,1.385,0.259,54.306,-4.346,-7.41,53.353,-1.452,-2.649,9.99,0.256,0.226,10.168,0.261,0.23,15.657,2.932,65.577,12.279,0.315,57.744,3178.8,4363.83,1585.793,10.837,97.373,1186.513,1419.944,7.11,44286.535,1.135,0.723,0.135,10.64,1.992,13.053,13.107,-0.953,-0.178,9.93,1.859,6.44,1.206,25.366,4.75,0.1,0.535,236.519,0.192,0.213,0.175,0.17,0.314,0.304,0.259,0.302,0.101,0.08,0.185,0.388,0.176,0.259,0.225,-0.019,0.246,0.247,0.208,0.0,0.002,0.002,0.0,70.0,69.71,11.271,20.754
Djibouti,2000,DJI,742046.0,1258388224.0,0.0,0.0,0.366,-0.018,-4.762,0.44,-0.055,-11.111,0.593,0.349,0.124,0.494,0.291,0.104,0.0,0.0,0.0,0.0,0.0,0.0,10.259,13.08,0.0,0.0,0.0,2.821,10.259,0.0,4762.17,2.808,0.0,0.0,0.0,0.0,1.644,1.644,0.073,0.099,0.59,0.795,0.25,0.337,0.366,0.494,0.0,0.0,3.534,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.001,0.004,0.0,0.003,0.0,0.0,0.0,0.0,1.22,1.22,0.0,0.0
Dominica,2000,DMA,68365.0,404483808.0,0.0,0.0,0.103,0.022,27.273,0.139,-0.125,-47.222,2.037,0.344,0.263,1.501,0.254,0.194,0.0,0.0,0.0,0.0,0.0,0.0,1.729,1.839,0.0,0.0,0.0,2.125,1.729,0.0,7741.992,1.309,0.0,0.0,0.0,0.0,2.925,3.657,0.037,0.536,0.04,0.585,0.03,0.439,0.103,1.501,0.0,0.0,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0
Dominican Republic,2000,DOM,8540790.0,56344829952.0,1.068,0.125,18.992,1.17,6.567,24.524,-3.996,-14.011,2.871,0.435,0.284,2.224,0.337,0.22,0.246,0.029,12.254,1.435,0.217,18.42,312.45,1104.57,5.452,0.0,0.0,1492.53,288.578,0.0,10094.044,1.53,0.0,0.0,0.0,0.0,3.179,2.331,5.533,0.648,6.29,0.736,2.02,0.237,17.679,2.07,0.0,0.0,86.211,0.148,0.075,0.08,0.003,0.1,0.03,0.066,0.001,0.0,0.0,0.232,0.079,0.0,0.0,0.0,0.108,0.172,0.0,0.084,0.0,0.001,0.001,0.0,19.91,27.15,-6.737,-35.474
East Timor,2000,TLS,878367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751,1.275,11.029,12.556,0.48,0.546,0.18,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.12,0.66,0.0,0.0
Ecuador,2000,ECU,12626511.0,85978873856.0,1.256,0.1,20.562,-0.802,-3.755,34.888,-12.564,-26.476,2.763,0.406,0.335,1.628,0.239,0.197,0.0,0.0,19.606,1.553,0.228,25.92,522.762,3723.742,0.0,31.961,9.893,3851.45,454.988,0.0,8246.84,1.211,1.509,0.12,0.473,0.037,3.811,6.707,14.326,1.135,21.84,1.73,4.1,0.325,17.324,1.372,0.0,0.0,104.129,0.174,0.081,0.114,0.0,0.141,0.05,0.221,0.0,0.299,0.008,0.599,0.124,0.0,0.541,0.01,0.28,0.168,0.0,0.243,0.001,0.002,0.003,0.0,84.69,48.12,-0.956,-4.649
